sobre,36628
desde,41600
entre,38144
hasta,30408
parte,26940
tiene,27567
donde,23775
todos,24155
puede,21065
están,18961
hacer,15970
otros,16133
lugar,15442
había,15706
mismo,14519
quien,14608
tanto,14729
hecho,15915
forma,13357
ahora,18680
horas,14741
menos,13374
estos,15389
antes,14265
tener,12858
mejor,13235
mundo,19160
mucho,12607
nuevo,14738
según,21646
mayor,12791
otras,10651
luego,13581
poder,11280
meses,9800
nueva,12233
ellos,10603
estar,9493
todas,10100
final,10166
estas,10835
medio,9802
casos,8741
nivel,8519
euros,8239
gente,8292
haber,7913
salud,13876
grupo,9961
total,7815
rusia,16076
lunes,7406
redes,7367
hacia,7382
trata,7228
decir,7146
mujer,8908
junto,7646
cinco,7258
veces,6827
datos,6857
cosas,6704
misma,6494
tenía,6692
noche,6826
tarde,6138
fuera,6079
cerca,6193
punto,6175
apoyo,5991
niños,6338
joven,6216
falta,5650
juego,5615
nunca,6341
sigue,5632
enero,8167
fecha,5434
hemos,6539
marzo,8098
llegó,5396
pesos,5104
junio,8024
largo,5146
local,6060
cargo,4923
buena,5136
julio,9170
serie,12038
calle,7063
lópez,6772
ambos,5431
línea,6481
igual,4599
deben,4442
dicho,4800
pesar,4334
ayuda,4443
claro,4703
abril,8694
sería,4385
menor,4218
valor,4063
quedó,3970
vamos,5102
serán,3986
maría,4826
madre,4315
santa,4330
hijos,3687
lleva,3717
único,3954
nadie,4219
busca,3750
pueda,3568
salir,3579
viene,3701
ellas,3587
tomar,3528
resto,3502
causa,3585
pasar,3471
líder,3834
siete,3615
marca,3494
obras,3873
dejar,3406
campo,3712
mucha,3471
algún,3373
saber,3363
poner,3307
visto,3288
marco,3785
plazo,3237
padre,3756
zonas,3225
hacen,3230
video,3469
ganar,3165
orden,3303
favor,3163
habrá,3585
lucha,3194
fuego,3726
llevó,2894
pedro,3451
jugar,2901
logró,2862
libre,3436
éxito,2830
pidió,2916
venta,2915
chile,11296
lista,3029
china,7298
temas,2806
media,3178
llega,2894
estoy,4243
clave,2910
manos,2696
armas,2908
tengo,3416
mitad,2641
putin,3383
etapa,2631
podrá,2615
única,2614
viaje,2704
atrás,2570
contó,2597
queda,2624
dosis,2420
color,2430
crear,2418
razón,2585
norte,5181
pagar,2336
unión,3090
papel,2380
sitio,2369
jorge,2504
cifra,2482
miles,2492
vista,2555
fácil,2299
civil,5696
biden,3103
pablo,2715
aires,5171
vivir,2249
demás,2171
tenga,2139
pocos,2210
qatar,6144
covid,24015
bueno,2515
común,2193
podía,2085
curso,2085
goles,2035
salió,2079
nueve,2192
áreas,2025
virus,1981
ambas,2290
fondo,2862
somos,2617
libro,2500
quién,2639
caída,1988
actor,1911
banco,3232
habla,1923
pérez,2728
grave,1862
dicen,2050
dónde,2146
votos,1837
daños,1831
firma,2024
siglo,1979
dolor,1788
darle,1764
plaza,3091
época,1740
doble,1782
diego,2035
